barcode,name,brand,package_size,category
0009800800056,ממרח נוטלה טו גו 52 גרם,פררו או.הייצ.גי.אם.בי.,52 גרם,Sauces & Spreads
0010900302814,"ניילון נצמד 30ס""מ*30 מטר",ריינולדס,30 מטרים,Other
0011182700954,שעועית שחורה 439 גרם,האנאובר פודס קורפורשיין,439 גרם,Other
0011210000032,"רוטב טבסקו משפחתי 360מ""ל",ניצן,360 מיליליטר,Sauces & Spreads
0011210000094,"רוטב טבסקו 60 מ""ל",ניצן,60 מיליליטר,Sauces & Spreads
0011210009387,"רוטב טבסקו ירוק 60 מ""ל",ניצן,60 מיליליטר,Sauces & Spreads
0011210698055,"טבסקו סרירצה 566 מ""ל",מקאילהייני,566 מיליליטר,Other
0016000423534,חטיף שיבולת ושוקולד5,גנרל מילס סאן אדריאן,210 גרם,Snacks
0016000548404,חטיף נייטשר וואלי דבש5יח,גנרל מילס סאן אדריאן,210 גרם,Sauces & Spreads
0016000548503,נייטשר וואלי מייפל 5יח,גנרל מילס סאן אדריאן,210 גרם,Other
0016000548909,חט.נייטשר וואלי מעורב5יח,גנרל מילס סאן אדריאן,210 גרם,Other
0016229914578,מי קוקוס טבעי פוקו 1 ל,ויט וורלד קומפני,1 ליטר,Other
0016229917593,"מי קוקוס 330 מ""ל",ויט וורלד קומפני,330 מיליליטר,Other
0016229917630,"מי קוקוס + אננס 330 מ""ל",ויט וורלד קומפני,330 מיליליטר,Fruit
0016229917647,"מי קוקוס + מנגו 330 מ""ל",ויט וורלד קומפני,330 מיליליטר,Fruit
0018000701223,תערובת לעוגת שוקולד425גר,גנרל מילס,425 גרם,Snacks
0018000703494,תערובת לעוגת וניל 390גרם,גנרל מילס,390 גרם,Other
0022200956932,ספיד סטיק גל24/7כחול85ג,קולגייט-פלמוליב,85 גרם,Other
0022200956949,ספיד סטיק גל24/7כתום85ג,קולגייט-פלמוליב,85 גרם,Other
0025675120006,חמצוצים 4 צבעים 100 גרם,פאסין ב.ו,100 גרם,Other
0025675120020,חמצוצים בטעם פטל 100 גרם,ירוג,100 גרם,Other
0025675120037,חמצוצים בטעם תות 100 גרם,ירוג,100 גרם,Fruit
0025675120044,חמצוצים בטעם תפוח 100גרם,פאסין ב.ו,100 גרם,Fruit
0025675120068,חמצוצים בטעם קולה 100גרם,ירוג,100 גרם,Drinks
0027000001127,רוטב ברביקיו חרדל ודבש,---,510 גרם,Sauces & Spreads
0027000001455,רוטב ברביקיו אוריגינל510,---,510 גרם,Sauces & Spreads
0027000867044,רוטב ברביקיו לתיבול510ג,---,510 גרם,Sauces & Spreads
0033383220291,אוכמניות טריות 125גרם,NICEBLUE S.A,125 גרם,Other
0033383222288,אוכמניות ארוז 125 גרם,א.מ.תקומה עשבי תיבול,125 גרם,Other
0034000250103,חט.שוקולד בוטנים39ג ריסז,הרשי שוקולד,39 גרם,Snacks
0034000312177,סירופ שוקולד 680 גרם,הרשי שוקולד,680 גרם,Snacks
0035000458476,מארז4מברשת קולגייט מגיל2,---,1 יחידות,Other
0036000183399,12 האגיס חיתולי שחיה S,חוגלה קימברלי,1 יחידות,Other
0036000516876,קלינקס לושן 3 שכבות 75יח,חוגלה קימברלי,1 יחידות,Other
0036000516890,קלינקס לושן 3 שכבות120יח,חוגלה קימברלי,1 יחידות,Other
0037600297943,מטבל סלסה חריפה 439 גרם,---,439 גרם,Other
0037600297967,מטבל סלסה בחריפ.עדינה439,---,439 גרם,Other
0037600309417,חמאת בוטנ.סקיפי קלאסי454,---,454 גרם,Other
0037600309424,חמאת בוטנ.סקיפי שברים454,---,454 גרם,Other
0037600311571,"חמאת בוטנים ללת""ס340",---,340 גרם,Other
0038000138416,פרינגלס אורגינל 149 גרם,חברת קלוגס,149 גרם,Other
0038000138430,פרינגלס שמנת בצל 158 גרם,חברת קלוגס,158 גרם,Dairy
0038000183713,פרינגלס ברביקיו 158 גרם,חברת קלוגס,158 גרם,Other
0041390010309,רוטב טריאקי קיקומן 444מל,קיקומן פודז אינק,444 מיליליטר,Sauces & Spreads
0046214731552,עוגיות שוקולד ציפס225גר,"י. מרבה ישראל בע""מ",225 גרם,Snacks
0050000004522,פיורלי טונה כחולה ברוטב,PURELY FANCY FEAST,1 יחידות,Sauces & Spreads
0050000015474,פריסקיז מעדני הים 1.43קג,נסטלה פורינה,1430 גרם,Other
0050000040803,פנסיפיסט גריל עוף ברוטב,נסטלה פורינה,85 גרם,Sauces & Spreads
0050000084500,פריסקיז יבש ברבקיו1.43קג,נסטלה פורינה,1.43 קילוגרם,Other
0050000100347,פריסקיז מעדן לחתול1.42קג,נסטלה פורינה,1.42 קילוגרם,Dairy
0050000103867,פנסיפיסט סלמון ושרימפס85,"נסטלה פורינה ארה\""ב",85 גרם,Meat & Fish
0050000168583,פריסקיז אקסטרא קראנץ1.43,"פורינה ארה\""ב",1430 גרם,Other
0050000170180,פריסקיז עוף ברוטב 156גרם,"נסטלה פורינה ארה\""ב",156 גרם,Sauces & Spreads
0050000426447,פנסיפיסט נתחי הודו ברו,"נסטלה פורינה ארה\""ב",85 גרם,Meat & Fish
0050000426942,פנסיפיסט נתחי עוף 85גרם,נסטלה פורינה,85 גרם,Meat & Fish
0050000429042,פנסי פיסט כבד ועוף 85גרם,"נסטלה פורינה ארה\""ב",85 גרם,Meat & Fish
0050000429844,פנסי פיסט הודו ועוף 85גר,"נסטלה פורינה ארה\""ב",85 גרם,Meat & Fish
0050000445691,פריסקיז נ.עוף וסלמון156ג,"נסטלה פורינה ארה\""ב",156 גרם,Meat & Fish
0050000543533,פריסקיז פטה סלמון 156 גר,"נסטלה פורינה ארה\""ב",156 גרם,Meat & Fish
0050000543557,פריסקיז פטה הודו 156 גרם,"נסטלה פורינה ארה\""ב",156 גרם,Meat & Fish
0050000543571,פריסקיז פטה מיקס 156 גרם,"נסטלה פורינה ארה\""ב",156 גרם,Other
0050000543595,פריסקיז כבד ועוף 156 גרם,"נסטלה פורינה ארה\""ב",156 גרם,Meat & Fish
0050000575770,פריסקיז חתול מעדני הים,נסטלה פורינה,7.27 קילוגרם,Other
0050000577972,פריסקיז טייסטי טונה156ג,פריסקיז,156 גרם,Meat & Fish
0050000836123,פנסיפיסט גריל טונה,פנסי פיסט,85 גרם,Meat & Fish
0054881003988,תה 4סוגים 398 20ש6X,"אחמד תי,אפ.זי-אל.אל.סי",40 גרם,Drinks
0054881006958,תה שחור קינמון 20שק*2ג,"אחמד תי,אפ.זי-אל.אל.סי",40 גרם,Drinks
0054881006972,תה שחור לימון וליים 20 ש,"אחמד תי,אפ.זי-אל.אל.סי",40 גרם,Drinks
0054881007535,תה ירוק לימון 20שק*2גרם,"אחמד תי,אפ.זי-אל.אל.סי",40 גרם,Drinks
0054881009522,תה שחור פטל 20שק*2גרם,"אחמד תי,אפ.זי-אל.אל.סי",40 גרם,Drinks
0054881017855,תה שחור צאי 20 שקיות,"אחמד תי,אפ.זי-אל.אל.סי",40 גרם,Drinks
0058449450030,דייסת מייפל אגוזי לוז400,נייטשר פאת,400 גרם,Other
0058449450047,דייסת ש.שועל תפוח+קינ400,נייטשר פאת,400 גרם,Fruit
0058449779032,טבעות תירס ואורז 325 גרם,נייטשרס פאת מזון,325 גרם,Vegetables
0058449860020,דגני בוקר גורילה מאנץ400,נייטשרס פאת מזון,400 גרם,Other
0058449860037,דגני בוקר קואלה קריספ325,נייטשרס פאת מזון,325 גרם,Other
0064144090020,"תרסיס שמן זית 148 מ""ל",קונגרה,148 מיליליטר,Sauces & Spreads
0064144090051,"תרסיס שמן קנולה 148 מ""ל",קונגרה,148 מיליליטר,Sauces & Spreads
0070970475337,סוכריות גלי אורגינל 120,JUST BORN INC,120 גרם,Snacks
0070970475351,ס.גלי פירות טרופים120ג,JUST BORN INC,120 גרם,Fruit
0070970475368,סוכריות גלי מגה מיקס120,JUST BORN INC,120 גרם,Snacks
0070970475375,סוכריות מגה מיקס חמוץ120,JUST BORN INC,120 גרם,Snacks
0075810001356,רוטב סויה תמרי אורגני,,592 מיליליטר,Sauces & Spreads
0075810021354,"רוטב סויה תמרי 592 מ""ל",,592 מיליליטר,Sauces & Spreads
0076840002542,גלידת נטפליקס & צילד 500,מוצרי איכות אמריקאיים,500 מיליליטר,Frozen
0076840100156,פיינט צרי צרי דרים 500,מוצרי איכות אמריקאיים,500 מיליליטר,Other
0076840100583,גלידה בצק עוגיות,מוצרי איכות אמריקאיים,473 מיליליטר,Frozen
0076840400027,גלידה בטעם שוקולד,מוצרי איכות אמריקאיים,500 מיליליטר,Frozen
0076840400218,גלידה עוגת גבינה ותות,מוצרי איכות אמריקאיים,420 גרם,Frozen
0076840620029,"גלידה תות 500 מ""ל",מוצרי איכות אמריקאיים,500 מיליליטר,Frozen
0077245110610,סוכריות מאסט מנטה 80 גרם,עלית,80 גרם,Snacks
0077975094631,בייגלה סנדוויץ ט.צדר226,סניידרס לאנס,226 גרם,Other
0077975095263,שברי בייגלה מחמצת צד319,סניידרס לאנס,319 גרם,Other
0077975095270,סניידרס טעם דבש+חרדל319,---,319 גרם,Sauces & Spreads
0080432402931,וויסקי שיבאס ריגאל 700מל,,700 מיליליטר,Other
0080686000440,"גים בים לבן 700 מ""ל",בים סנטורי,700 מיליליטר,Dairy
0082184090473,"גק דניאלס 700 מ""ל",גק דניאלס,700 מיליליטר,Other
0096086000003,קיטו מיני גריסיני 200 ג,מצות אביב,200 גרם,Other
0096086000577,קרקר כוסמין 200 גרם,מצות אביב 2014 מאפה בעמ,200 גרם,Snacks
0096086000966,קרקר כוסמין+שומשום200ג,,200 גרם,Snacks
0096086001512,עוג.לימון ל.תוספת סוכ200,מצות אביב 2014 מאפה בעמ,200 גרם,Fruit
0096086001536,"עוגיות וניל ללת""ס 200גרם",מצות אביב 2014 מאפה בעמ,200 גרם,Snacks
0305213079004,"תחליב גוף וזלין 600 מ""ל","יוניליוור גפרסון ארה""ב",600 מיליליטר,Other
0608614315529,פסיפלורה יחידה,משק דניאלס,1 יחידות,Other
0608614340606,מלפפון בייבי 500 גרם,קטיף.,500 גרם,Vegetables
0611108802849,סט16צלחות לורן9+10 בראבו,שיינקסו טריידינג,1 יחידות,Other
0611108803426,"צלחת וינטג 10""קרם 10יח",שיינקסו טריידינג,1 יחידות,Other
0611108803433,"צלחת וינטג 9""קרם 10יח",שיינקסו טריידינג,1 יחידות,Other
0611108803440,"צלחת וינטג 7""קרם 10יח",שיינקסו טריידינג,1 יחידות,Other
0611108803457,מרקייה וינטג קרם 10 יח,שיינקסו טריידינג,1 יחידות,Prepared
0611745285685,מארז אבוקדו בשל,"מור בריאות בע""מ",1 יחידות,Other
0633824913432,וודקה ואן גוך אסאי 750מל,מזקקת קוימאנס טילבורג,750 מיליליטר,Other
0644209307579,ת.לעוגת שוקולד432ג דנקן,קונגרה ברנדס,432 גרם,Snacks
0645173911038,מלפפונים קורנישונים670גר,קלמן אינדיה פי וי סי,670 גרם,Other
0649660013281,"מיץ שזיפים 946 מ""ל",היל ויו פקינג קומפני,946 מיליליטר,Drinks
0649660432020,שזיף מגולען היל ויו400גר,היל ויו פקינג קומפני,400 גרם,Fruit
0649870166135,נייטיב ווי טונה,---,85 גרם,Meat & Fish
0649870166173,נייטיב ווי פטה ברווז,---,85 גרם,Other
0649870166180,נייטיב ווי פטה סלמון,---,85 גרם,Meat & Fish
0649870168252,שלוקים לחתול טעם עוף,פטסלנד,60 גרם,Meat & Fish
0649870168269,שלוקים לחתול טעם ברווז,פטסלנד,60 גרם,Other
0649870168283,שלוקים לחתול טעם טונה,פטסלנד,60 גרם,Meat & Fish
0651080647519,36קיסם +חוט מנטה גורדן,קלרו,1 יחידות,Other
0693493231749,חסה לאליק הידרופונית (ק),"דהן סולנום בע""מ",190 גרם,Vegetables
0693493247030,דובדבן אדום ארוז,קטיף.,250 גרם,Other
0710497091329,מלפפון בייבי 350 גרם,"אוהד חקלאות ושיווק בע""מ",350 גרם,Vegetables
0710497091367,פלפל טינקרבל,"אוהד חקלאות ושיווק בע""מ",1 יחידות,Vegetables
0710497091534,פלפלון-אריזה מוגדל (ק),"אוהד חקלאות ושיווק בע""מ",1 יחידות,Vegetables
0710497310987,מארז אוכמניות 125 גרם,DAGOSA,125 גרם,Other
0710497311007,אוכמניות יבוא 125 גרם,HORTIFRUT,125 גרם,Other
0710497311021,אוכמניות ישראלי 125גרם,"אוכמניות כחול לבן בע""מ",125 גרם,Dairy
0710497311090,פטל אוסנה שחור 125 גרם,אוכמניות כחול לבן,1 יחידות,Dairy
0721733000739,"טקילה פטרון סילבר 700מ""ל",פטרון,700 מיליליטר,Other
0728229123590,ציפס ירקות טעם טבעי110ג,היין סלסטיאל גרופ,110 גרם,Snacks
0728229123811,ציפס ירקות ים תיכוני110,היין סלסטיאל גרופ,110 גרם,Snacks
0728229130154,ציפס בטטה סלק 110 גרם,היין סלסטיאל גרופ,110 גרם,Snacks
0768404001640,גלידה קפה,מוצרי איכות אמריקאיים,500 מיליליטר,Frozen
0769904000997,שקדי מרק ללא גלוטן200גרם,,200 גרם,Prepared
0787269088481,עגבניות שרי לובלו (ק),יגור חקלאות ועסקים,700 גרם,Vegetables
0813724023756,וויטקינס וניל אפיה 59 מל,גי אר ווטקינס,59 מיליליטר,Other
0818570007066,תמצית וניל טהור ווטקינס,גי.אר. ווטקינס,29 מיליליטר,Other
0827854010746,ספיד סטיק קרבון פחם 50 ג,קולגייט-פלמוליב,50 גרם,Other
0833949000264,"סירופ מייפל אורגני250מ""ל",,250 מיליליטר,Other
0835811000853,סודה לשתייה 100 גרם,"מיוצר וארוז ע\""י: BAS 34",100 גרם,Drinks
0835811002277,50שיפוד במבוק עבה35ס נמל,---,1 יחידות,Other
0835811006053,קורנפלור 200 גרם,ר.ס. חברה ליבוא וייצור מ,200 גרם,Other
0835811006312,אבקת סוכר במיכל 300 גרם,,300 גרם,Other
0835811006985,בורגול 500 גרם,יבוא ושיווק: הנמל אריזות,500 גרם,Other
0835811007494,גלטין טהור מדגים 2*14 ג,גואנגדונג מיניאנג,28 גרם,Meat & Fish
0835811008279,שומשום במיכל 260 גרם,הנמל,260 גרם,Other
0835811008347,גפרורים ענקיים 45 יחידות,הנמל,1 יחידות,Other
0839762000641,נקטר מנגו איילנד 1 ליטר,"פאראגאלה,דה אגיפשן קו",1 ליטר,Fruit
0839762000658,נקטר גויאבה איילנד 1 ל,פאראגאלה דה אגיפשן קו,1 ליטר,Other
0841058005285,גל גילוח לעור רגיש198ג,KDC/ONE SWALLOWFIELD LTD,198 גרם,Other
0851621000050,"בירה 1664 בלאנק 6*330מ""ל",---,1.98 ליטר,Drinks
0856591000109,עוגיות מזרחיות פריכות400,מאפיית יוסף ושמחה עבאדי,400 גרם,Snacks
0884912126115,דגני גרייט גריינס דטה453,פוסט קונסיומר ברנדס,453 גרם,Other
0884912129512,דגני קוקו פבלס 311 גרם,---,311 גרם,Other
0884912129710,פרוטי פבלס דגנים 311 גרם,פוסט,311 גרם,Other
0884912359155,האני באנצס רוסטד 340 גרם,---,340 גרם,Other
0884912359162,הני בנצס אלמונד 340גר,---,340 גרם,Other
0884912359421,האני באנצס פקאן מייפל340,פוסט פודס,340 גרם,Other
0884912359483,האני בנצס+חתיכות תות312,---,312 גרם,Fruit
0960860015432,"עוג.ללת""ס מקמח מלא200גרם",מצות אביב 2014 מאפה בעמ,200 גרם,Other
1230000292009,מארז אוכמניות 125 גרם,NORTH BAY,125 גרם,Other
3014260262693,מכשיר גילוח ונוס+2סכינים,פרוקטר & גמבל,1 יחידות,Other
3014260262709,סכיני גילוח ונוס4י גילט,פרוקטר & גמבל,1 יחידות,Other
3014260287030,"5סכיני גילוח חד""פ גילט",פרוקטר & גמבל,1 יחידות,Other
3014260294243,6סכין גילוח חדפ גילט,פרוקטר & גמבל,1 יחידות,Other
3014409005471,פסטיס פראדו אניס 1ל,---,1 ליטר,Other
3017800501627,גרעיני תירס3*150ג דוסי,---,450 גרם,Vegetables
3034250007813,קלינקס טישו כיס 12*9יח,---,1 יחידות,Other
3046920021777,שוקולד אקסלנס קרמל100גרם,לינדט ושפרונגלי אס.איי.א,100 גרם,Snacks
3046920023047,לינדט אקסלנס פיסטוק 100,לינדט ושפרונגלי,100 גרם,Other
3046920027281,לינד.אקסלנס קרמל סולט100,לינדט,100 גרם,Other
3046920028004,שוק.מריר לינדט 70% 100ג,לינדט ושפרונגלי,100 גרם,Other
3046920028363,שוק.מריר לינדט 85% 100ג,לינדט ושפרונגלי,100 גרם,Other
3046920028752,שוק.מריר לינדט מנטה 100ג,לינדט ושפרונגלי,100 גרם,Other
3046920029674,שוקולד מריר לינדט מלח 10,לינדט ושפרונגלי,100 גרם,Snacks
3046920029759,שוק.מריר לינדט 90% 100ג,לינדט ושפרונגלי קילשברג,100 גרם,Other
3046920110341,שוק.אקסלנס אורנג100%קק50,לינדט,50 גרם,Other
3067140013113,תחל.קפה ציקוריה 100 גרם,לרו,100 גרם,Drinks
3067140243114,תחל.קפה ציקוריה קרמל100ג,לרו,100 גרם,Drinks
3073781161700,מותכת לה וואש קירי 32יח,---,480 גרם,Other
3073781190595,לה וואש קירי מותכת 16יח,---,240 גרם,Other
3073781190618,מותכת לה וואש קירי 8 יח,---,120 גרם,Other
3073781199918,גבינת בייבי בל 5*20 גרם,מחלבות בל,100 גרם,Dairy
3120581456267,"שאבלי די ליני 750 מ""ל",---,750 מיליליטר,Other
3141360054405,מ.ריח למדיח לימון4 פיניש,רקיט בנקיזר,4 מיליליטר,Fruit
3161911229199,חמאה רכה 250 גרם,אלוויר,250 גרם,Dairy
3161911366429,חמאה מלוחה רכה 250גרם,אלוויר,250 גרם,Dairy
3179732348913,מים מינרלים מוגז פרייה1ל,נסטלה ווטרס ספלאי,1 ליטר,Drinks
3274932103819,חמאה לה גל זהב 200 גרם,SILL SAS,200 גרם,Dairy
3274932103864,חמאה לה גל זהב עם מלח200,SILL SAS,200 גרם,Dairy
3387390320244,פיטנס דגני בוקר פירות375,סי. פי. צרפת,375 גרם,Fruit
3387390525960,קראנץ דגני בוקר 500 גרם,סי. פי. צרפת,500 גרם,Other
3451790562631,חמאה 60% אלוויר 200 גרם,סבנסיה,200 גרם,Dairy
3451790562990,חמאה מלוחה אלוויר 200 גר,סבנסיה,200 גרם,Dairy
3480341005822,מיני קממבר 125 גרם,סבנסיה,125 גרם,Dairy
3480341005846,ברי 125 גרם איל דה פרנס,סבנסיה,125 גרם,Other
3500610150500,"שאטו הו פורה מרלו700מ""ל",---,750 מיליליטר,Other
3523230025652,בושה עזים שום ע.תיבול125,אוריאל,125 גרם,Other
3523230038751,גב.בושה עיזים טבעית125ג,אוריאל,125 גרם,Other
3523230038874,בושה עיזים שום ע.תיבו125,אוריאל,125 גרם,Other
3523230061148,גבינת עיזים מוקצפת 140גר,אוריאל,140 גרם,Dairy
3523230065467,גב.עיזים שום ע.תיבול150ג,אוריאל,150 גרם,Other
3523230065535,גבינת עיזים 150ג סואניון,אוריאל,150 גרם,Dairy
3574660058857,גונסון בייבי שמן 500 מל,CILAG GMBH INTERNATIONAL,500 מיליליטר,Sauces & Spreads
3574660066203,קרם ידיים מבושם 75מ,JNTL Consumer Health I (,75 מיליליטר,Other
3574660066227,קרם ידיים נוטרוגינה 75,---,75 מיליליטר,Other
3574660089547,טמפוני או בה נורמל 32 יח,JOHNSON&JOHNSON,1 יחידות,Other
3574660239829,קרם ידיים ניוטרוגינה 75,JOHNSON&JOHNSON,75 מיליליטר,Other
3574660333466,32טמפ. או-בה פרוקומפ.מינ,JOHNSON&JOHNSON,1 יחידות,Other
3574660464429,קרפרי אוורירי מגה פק 76י,JOHNSON&JOHNSON,1 יחידות,Other
3574660514643,"קרם רב""ש ניוטרוגינה300מ",JOHNSON&JOHNSON,300 מיליליטר,Other
3574661003924,ליסטרין טוטל קר500מל,JOHNSON&JOHNSON,500 מיליליטר,Other
3574661098531,תח.גוף ניוטרוגינה מ400,ש.שסטוביץ,400 מיליליטר,Other
3574661098937,תח. גוף נטרוגינה יבש400,JOHNSON&JOHNSON,400 מיליליטר,Other
3574661200019,תח.ניוטרוגינה ויזבלי400,JOHNSON&JOHNSON,400 מיליליטר,Other
3574661391373,תחליב גוף הידרובוסט400מל,---,400 מיליליטר,Other
3574661485201,טמפון או-בה פרו סופר32י,JOHNSON&JOHNSON,1 יחידות,Other
3574661485218,או בה פרוקומפורט נורמל32,ש.שסטוביץ,1 יחידות,Other
3574661487625,קרפרי מגן תחתון מקסיL,JOHNSON&JOHNSON,1 יחידות,Other
3574661487632,קרפרי מגן לארג פלוס 64יח,JOHNSON&JOHNSON,1 יחידות,Other
3574661552576,קרפרי מגן רגיל טנגו 56יח,JOHNSON&JOHNSON,1 יחידות,Other
3574661552811,קרפרי כותון אוורירי 56יח,JOHNSON&JOHNSON,1 יחידות,Other
3574661554884,קרפרי רגיל טנגה ריחני,JOHNSON&JOHNSON,1 יחידות,Other
3574661610344,"ניוטרוגנה קרם רב""ש 300מ",גונסון אנד גונסון סנטה ב,300 מיליליטר,Other
3574669907729,גונסון שמפו גולד 750 מל,CILAG GMBH INTERNATIONAL,750 מיליליטר,Other
3574669908665,גונסון אלסבון ל.שינה750,CILAG GMBH INTERNATIONAL,750 מיליליטר,Other
3574669908948,גונסון אל סבון עדין750מ,CILAG GMBH INTERNATIONAL,750 מיליליטר,Other
3600522632436,ק.לילה55 אייג ספשיאליסט,"קרלסרו, גרמניה",50 מיליליטר,Other
3600523193141,מגיק ריטאצ גוון 1 שחור,לוריאל ליברמו,75 מיליליטר,Other
3600523193158,מגיק ריטאצ 2 חום,לוריאל ליברמו,75 מיליליטר,Other
3600523816699,פעולה משולשת גל קרם50מל,"קרלסרו, גרמניה",50 מיליליטר,Other
3600523953677,"דרמו רויטליפט לחות50 מ""ל","קרלסרו, גרמניה",50 מיליליטר,Other
3600524163075,שמפו הידרה היאלורוני500מ,לוריאל-אלביב,500 מיליליטר,Other
3600524163082,אלביב מרכך משקם 500 מל,לוריאל-אלביב,500 מיליליטר,Other
3600524163099,שמפו Dream Long משקם500מ,RAMOUILLET,500 מיליליטר,Other
3600524163204,אלביב מרכך לרכות 500ל,RAMOUILLET,500 מיליליטר,Other
3600524166687,אלביב מרכך הידרה הילורונ,לוריאל-אלביב,500 מיליליטר,Other
3600524167080,שמפו להזנה עוצמתית 500מל,RAMOUILLET,500 מיליליטר,Other
3600524245733,מסכה לשיער דרים לונג300מ,Saipo Settmo\nITALY,300 מיליליטר,Other
3600524245863,מסכה הידרה היאלורונית300,Saipo Settmo\nITALY,300 מיליליטר,Other
3600524246716,"מסכת שמנים 300 מ""ל",Saipo Settmo\nITALY,300 מיליליטר,Other
3600541029323,ESSENTIALS מסיר איפור,סופרויאל,200 מיליליטר,Other
3600541382930,"מים מיסלריים 400 מ""ל","קוסמופול, פולין",400 מיליליטר,Drinks
3600541402270,"גרניה ספריי פרש 150מ""ל",סופרוקוס,150 מיליליטר,Other
3600541740006,גרניה ספריי אקשן קונטרול,סופרוקוס,150 מיליליטר,Other
3600541928275,מים מיסלריים דו-פאזי400מ,"קוסמופול, פולין",400 מיליליטר,Drinks
3600542385107,דאו רול BWC אלוורה 50 מל,קוסמופול,50 מיליליטר,Other
3600542385268,דאו רול אינביזיבל BWC 50,לוריאל ישראל קוסמטיקס בע,50 מיליליטר,Other
3600542399272,גרניה ספריי הילארונית150,"SOPROCOS, ST QUENTIN",150 מיליליטר,Other
3600542399340,גרניה דאו רול הילארונית,"SOPROCOS, ST QUENTIN",50 מיליליטר,Other
3600542431828,קולור נטורלס 1 שחור,לוריאל ישראל קוסמטיקס בע,1 יחידות,Other
3600542431835,קולור נטורלס 3,לוריאל ישראל קוסמטיקס בע,1 יחידות,Other
3600542431842,קולור נטורלס 4,לוריאל ישראל קוסמטיקס בע,1 יחידות,Other
3600542431859,צבע לשיער קולור נטורלס 5,לוריאל ישראל קוסמטיקס בע,1 יחידות,Other
3600542431866,קולור נטורלס 6,קוסמפול,1 יחידות,Other
3600542431873,צבע שיער קולור נטורלס 7,לוריאל ישראל קוסמטיקס בע,1 יחידות,Other
3600542431934,קולור נטורלס 6.25,לוריאל ישראל קוסמטיקס בע,1 יחידות,Other
3600542431996,צבע שיער קולור נטורל5.15,לוריאל,1 יחידות,Other
3608580109280,קונפיטו.תות370ג בון מאמן,אנדרוס,370 גרם,Fruit
3608580109310,קונפי.פרי אדום370בוןמאמן,אנדרוס,370 גרם,Other
3608580162506,סיינט אמור תות שדה275גרם,אנדרוס,275 גרם,Fruit
3608580162537,מעדן פרי משמש 275 גרם,אנדרוס,275 גרם,Dairy
3608580162568,מעדן פרי פירות אדומים275,אנדרוס,275 גרם,Dairy
3608580162599,מעדן פרי דובדבן 270 גרם,אנדרוס,270 גרם,Dairy
3608580162629,מעדן פרי תפוז 275 גרם,אנדרוס,275 גרם,Dairy
3608580730255,קונפיט.משמש370ג בון מאמן,אנדרוס,370 גרם,Other
3800103433586,מים מינרלים טבעיים12*500,NOVA TRADE LTD,6 ליטר,Drinks
3838824127149,צבע סמי קיט פלטה מס1-1,הנקל סוד,1 יחידות,Other
3838824127200,צבע סמי קיט פלטה מס3-0,הנקל סוד,1 יחידות,Other
3838824127224,צבע סמי קיט 4-0חום בינונ,הנקל סוד,1 יחידות,Other
3838824127286,צבע סמי קיט פלטה מס7-0,הנקל סוד,1 יחידות,Other
3838824193915,צבע סמי קיט פלטה מס1-0,הנקל סוד,1 יחידות,Other
3838824240275,צבע סמי קיט פלטה 6-65 יח,הנקל סוד,1 יחידות,Other
3858887585205,"סומרסבי מנגו ליים 330מ""ל","קרלסברג קרואטיה , יבואן:",330 מיליליטר,Fruit
3890000781019,"וודקה בלוגה נובל 700 מ""ל",נובלווד אדריאטיק,700 מיליליטר,Other
4000417013002,שוק.ריטר לבן אגוז שלם100,אלפרד ריטר,100 גרם,Dairy
4000417019004,שוק.ריטר חלב אגוז שלם100,אלפרד ריטר,100 גרם,Dairy
4000417025005,שוקולד מריר עם מרציפן100,אלפרד ריטר,100 גרם,Snacks
4000417101211,חטיף אמיצלי ק.אגוז150ג,---,150 גרם,Snacks
4000417101280,חטיף אמיצלי 187.5 גרם,ריטר,187 גרם,Snacks
4000417222008,שוקולד חלב+אגוזי לוז 100,אלפרד ריטר,100 גרם,Snacks
4000417224002,שוק.ריטר מריר אגוזים100ג,אלפרד ריטר,100 גרם,Other
4000417670915,ש.חלב עם פיסטוק קלוי100ג,אלפרד ריטר,100 גרם,Dairy
4000417708007,שוקולד ריטר מריר שקד100ג,אלפרד ריטר,100 גרם,Snacks
4000539280726,שוק.מריר לינדט70%מילד100,לינדט ושפרונגלי,100 גרם,Other
4000539280740,שוק.מריר לינדט 78% 100ג,לינדט ושפרונגלי אס.איי.א,100 גרם,Other
4000539363108,שוקולד לינדור סטיק 38גרם,לינדט,38 גרם,Snacks
40052403,חטיף קיט קאט אצבעות41ג,נסטלה גרמניה,41 גרם,Snacks
4005808128273,ניוואה גל רחצה לגבר500מ,BEIERSDORF HELLAS,500 מיליליטר,Other
4005808222698,קצף גילוח ניוואה רגיש200,BEIERSDORF,200 מיליליטר,Other
4005808366392,לבלו שפתון לחות כחול,BEIERSDORF HELLAS,1 יחידות,Other
4005808368280,לבלו דובדבן בליסטר,BEIERSDORF HELLAS,1 יחידות,Other
4005808502004,לבלו שפתון ליובש ורוד,BEIERSDORF,1 יחידות,Other
4005808515554,"ניוואה קרם ר""ש עדין 300מ",BEIERSDORF HELLAS,300 מיליליטר,Other
4005808813063,תחל.לאחר גילוח-ע.רגיש100,BEIERSDORF,100 מיליליטר,Other
4005808817405,גל גילוח ניוואה.רגיש200,BEIERSDORF,200 מיליליטר,Other
4005808850723,שפתון תות שדה בליסטר,BEIERSDORF HELLAS,1 יחידות,Fruit
