barcode,name,brand,package_size,category
8714789966403,ליידי ספיד פרו 5 גל 65ג,קולגייט-פלמוליב,65 גרם,Other
8715035110502,"רוטב סויה קיקומן 500 מ""ל",ראקוטו,500 מיליליטר,Sauces & Spreads
8715700110158,ממרח קרמי 490ג היינץ,ה.י.היינץ הולדינג בי.וי,490 גרם,Sauces & Spreads
8715700115641,ממרח במרקם קרמי לחיץ420ג,"פודליצקי ספ.ז.או.או.,",420 גרם,Sauces & Spreads
8715700117805,"קטשופ ללת""ס ומלח 425ג",ה.י.היינץ הולדינג בי.וי,425 גרם,Sauces & Spreads
8715700118925,קטשופ היינץ חריף 460 גרם,---,460 גרם,Sauces & Spreads
8715700124964,קטשופ מופחת סוכר ומלח435,---,435 גרם,Sauces & Spreads
8715700419732,קטשופ היינץ 700 גרם,היינץ,700 גרם,Sauces & Spreads
8715700422473,ממרח לחיץ 395 גרם היינץ,היינץ,395 גרם,Sauces & Spreads
8717163647301,אקס דאו.ספריי גולד 150מל,יוניליוור אנגליה,150 מיליליטר,Other
8717163648667,אקס 3ב1גל רחצה אייס400מ,יוניליוור גרמניה,400 מיליליטר,Other
8717163655764,רקסונה ספרי שאוור 150,יוניליוור UK,150 מיליליטר,Other
8717163655825,רקסונה ספרי כותנה 150מ,"יוניליוור UK, בריטניה.",150 מיליליטר,Other
8717163663493,רקסונה ספריי קוסלט,יוניליוור אנגליה,150 מיליליטר,Prepared
8717163714850,דאב ספריי קוקוס 150מל,יוניליוור UK,150 מיליליטר,Other
8718951001589,אגקס מסיר שומנים 600מל,קולגייט-פלמוליב,600 מיליליטר,Other
8718951030206,משחת קולגייט סנסטיב 75 מ,קולגייט-פלמוליב,75 מיליליטר,Other
8718951093331,2 מברשות מרידול סופט,קולגייט-פלמוליב,1 יחידות,Other
8718951119413,ליידי ספ.סטיק24/7 פרש65ג,קולגייט-פלמוליב,65 גרם,Other
8718951144064,2 מברשות מרידול אקספורט,ש.שסטוביץ,1 יחידות,Other
8718951160897,אגקס טריגר אקונומיקה500,קולגייט-פלמוליב,500 מיליליטר,Other
8718951175600,קולגיט טוטאל אוריגינל75,---,75 מיליליטר,Other
8718951176874,"מי פה מיניונים 250 מ""ל",---,250 מיליליטר,Other
8718951385290,נוזל ניקוי מרענן2ל אגקס,קולגייט-פלמוליב,2 ליטר,Other
8718951409798,2 מברשת שיניים וייט פחם,ש.שסטוביץ,1 יחידות,Other
8718951540262,פלמוליב מקדמיה וקקאו750מ,קולגייט-פלמוליב,750 מיליליטר,Other
8718951541085,קרם פלמוליב חלב דבש 750מ,קולגייט-פלמוליב,750 מיליליטר,Sauces & Spreads
8718951541122,קרם רחצה סחלב750 פלמוליב,קולגייט-פלמוליב,750 מיליליטר,Dairy
